,FIPSTATE,State,tonneCO2e_eff_avg,burden_avg,POP,Emp,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,ECF_std_dev
0,01,AL,44515770.767531,10319850414.572052,4887871.0,1898389.25,23.449232430878443,1.3701286314225418,5436.108750917154,3.7352881363332298,0.6236823357158476
1,02,AK,41225052.14538211,9537970336.148582,721993.0,308706.70466773305,133.54116228137454,2.125615151815022,30896.54416937424,4.489909905570329,2.5664172436168244
2,04,AZ,23050155.46935825,5321786465.023437,7171646.0,2749372.0,8.383789268734187,0.9234403535404037,1935.6371073188484,3.286823939200867,-0.5249773517408859
3,05,AR,24333824.288988955,5658984606.826375,3013825.0,1188473.5,20.474856434736623,1.311220865264189,4761.5572470285415,3.6777490101129846,0.4722009120594119
4,06,CA,101316571.77585474,23791463532.660873,39557045.0,17017947.25,5.953513093411119,0.7747733130967903,1398.0219343235344,3.145513985344531,-0.9072749061354893
5,08,CO,45575121.250761084,10543921919.982412,5695564.0,2607636.5,17.477559180798814,1.242480781368967,4043.4784219282146,3.606755129835033,0.2954356661541469
6,09,CT,6152288.501432919,1420680218.3315563,3572665.0,1650620.25,3.7272585874509407,0.5713895240141817,860.6947711513634,2.93484916457016,-1.430276675308929
7,10,DE,4212992.603953488,1036346047.9275908,967171.0,445219.5,9.462731537934634,0.9760165191308118,2327.7193562447083,3.3669306179961405,-0.389777650013574
8,11,DC,1276758.8460786527,294761329.5153482,702455.0,570623.0,2.2374822712695646,0.34975960286155733,516.5605478842391,2.7131212340276725,-2.0001984049975827
9,12,FL,66338121.71212087,15326711169.254797,21299325.0,8532770.0,7.774511877399821,0.8906731313829301,1796.2175435708214,3.25435893380731,-0.6092383208011933
10,13,GA,50763539.72997552,11724646674.917828,10519475.0,4301604.25,11.80107159555078,1.0719214451793568,2725.645129934449,3.4354693114606274,-0.14315796502253436
11,15,HI,4279705.373722865,1002852127.1440921,1420403.0,625031.5,6.847183499908189,0.8355119668230201,1604.4825375106568,3.2053349947851957,-0.7510853518975725
12,16,ID,7555940.1238113465,1744476695.32659,1754208.0,714720.25,10.571884767237735,1.024152420707731,2440.78252340911,3.387529084992365,-0.26599609495924303
13,17,IL,80952841.53390652,18962749372.018864,12741080.0,5881531.0,13.763906291390205,1.1387417071579393,3224.1178992372675,3.508410914662818,0.028670455467934893
14,18,IN,67326600.81353384,15646632544.001362,6691878.0,3017289.5,22.313603256675847,1.3485697069102147,5185.658367883281,3.714803901976273,0.5682435236439377
15,19,IA,41907672.443335675,9692296181.355957,3156145.0,1539026.25,27.229991979237308,1.4350475134158556,6297.680875395047,3.7991806497005847,0.7906213542502809
16,20,KS,26581025.700554803,6194818537.099444,2911505.0,1364321.25,19.482966860301268,1.2896550918109193,4540.5864176779805,3.6571119457018337,0.41674448792389496
17,21,KY,41201951.61539566,9538479019.615198,4468402.0,1851973.25,22.247595431195162,1.3472830783553373,5150.44103343026,3.7118444193682056,0.5649349560658372
18,22,LA,100861795.7123102,23868812564.45405,4659978.0,1869545.25,53.949908787877796,1.7319907147658278,12767.17563506636,4.106094832911735,1.5542113156261177
19,23,ME,6116779.369911477,1412242725.3474743,1338404.0,600649.75,10.183604288375175,1.0079015152809097,2351.191730867239,3.3712880456551297,-0.30778532667350567
20,24,MD,11890971.958765194,2745826227.950906,6042718.0,2536691.0,4.687591811050377,0.6709497868994185,1082.4441084668592,3.0344054809966825,-1.174257285252221
21,25,MA,11512550.348484373,2666566500.8094287,6902149.0,3559001.5,3.234769737659389,0.5098433714890874,749.2456805116348,2.8746242478667727,-1.5885427141197637
22,26,MI,52316200.84286944,12115872594.798862,9995915.0,4301316.0,12.162835942039468,1.0850348488167239,2816.7827229617315,3.4497533482786165,-0.10943682464471047
23,27,MN,35557286.09055623,8271685307.865057,5611179.0,2867520.0,12.400013283449193,1.0934221503981703,2884.612943541826,3.460087547903871,-0.08786886396567148
24,28,MS,21777777.163505867,5110451460.904648,2986530.0,1097277.5,19.847100814065602,1.297697075713187,4657.392009682735,3.668142793757736,0.43742446358725495
25,29,MO,39887530.17516682,9228307854.9947,6126452.0,2738701.5,14.56439490582191,1.163292446085455,3369.5924345879607,3.527577374428116,0.09180272353867419
26,30,MT,9887986.544167334,2314411471.747662,1062305.0,451515.5,21.899550611589934,1.340435203017782,5125.873800008332,3.709767909566781,0.5473256326641283
27,31,NE,22007852.99430052,5080913320.08877,1929268.0,959328.25,22.94089952453763,1.3606104428104087,5296.32408937063,3.7239745523226686,0.5992062970604256
28,32,NV,11167200.291255044,2583321599.8801317,3034392.0,1345469.0,8.299856995036707,0.9190706096289077,1920.015697039569,3.2833047792815706,-0.5362141558483114
29,33,NH,2778784.7648930917,641622332.6413214,1356458.0,655325.5,4.240312279764929,0.6273978415891115,979.0895251921701,2.9908224042845926,-1.2862511887534673
30,34,NJ,17581521.307192802,4135204983.0582204,8908520.0,3970886.75,4.427605825623912,0.6461689501975745,1041.3807402233822,3.0176095413711166,-1.2379812501518936
31,35,NM,32781987.803542983,7582310593.310504,2095428.0,790704.75,41.45920181147638,1.6176209366336691,9589.306998991095,3.9817872226671183,1.2601092312225401
32,36,NY,31300007.508950595,7236414391.884471,19542209.0,9424893.0,3.3209934063920508,0.5212680133369004,767.7980420450896,2.8852470002923294,-1.5591642276360045
33,37,NC,44340261.145210475,10245741732.75566,10383620.0,4335706.75,10.226766638497974,1.0097383460268836,2363.1076370088126,3.373483503729001,-0.30306191319915865
